film_ref	community_id
(filmRef)17299	1
(filmRef)17305	1
(filmRef)17332	1
(filmRef)17300	1
(filmRef)17325	1
(filmRef)17326	1
(filmRef)17329	1
(filmRef)17330	1
(filmRef)17331	1
(filmRef)17324	1
(filmRef)19867	2
(filmRef)19853	2
(filmRef)19869	2
(filmRef)19866	2
(filmRef)19870	2
(filmRef)19868	2
(filmRef)19864	2
(filmRef)19855	2
(filmRef)19862	2
(filmRef)19861	2
(filmRef)19860	2
(filmRef)19856	2
(filmRef)19854	2
(filmRef)19871	2
(filmRef)19863	2
(filmRef)19872	2
(filmRef)19913	2
(filmRef)19874	2
(filmRef)19852	2
(filmRef)19915	2
(filmRef)19914	2
(filmRef)19912	2
(filmRef)19911	2
(filmRef)19894	2
(filmRef)19893	2
(filmRef)19892	2
(filmRef)19891	2
(filmRef)19890	2
(filmRef)19887	2
(filmRef)19886	2
(filmRef)19885	2
(filmRef)19884	2
(filmRef)19875	2
(filmRef)19873	2
(filmRef)19851	2
(filmRef)19810	2
(filmRef)19849	2
(filmRef)19824	2
(filmRef)19820	2
(filmRef)19819	2
(filmRef)19818	2
(filmRef)19817	2
(filmRef)19816	2
(filmRef)19825	2
(filmRef)19815	2
(filmRef)19813	2
(filmRef)19812	2
(filmRef)19811	2
(filmRef)19809	2
(filmRef)19916	2
(filmRef)19808	2
(filmRef)19814	2
(filmRef)19826	2
(filmRef)19827	2
(filmRef)19828	2
(filmRef)19848	2
(filmRef)19847	2
(filmRef)19846	2
(filmRef)19845	2
(filmRef)19844	2
(filmRef)19843	2
(filmRef)19842	2
(filmRef)19841	2
(filmRef)19840	2
(filmRef)19839	2
(filmRef)19836	2
(filmRef)19834	2
(filmRef)19833	2
(filmRef)19832	2
(filmRef)19831	2
(filmRef)19850	2
(filmRef)19917	2
(filmRef)14382	2
(filmRef)19919	2
(filmRef)19973	2
(filmRef)19972	2
(filmRef)19971	2
(filmRef)19970	2
(filmRef)19969	2
(filmRef)19968	2
(filmRef)19974	2
(filmRef)19967	2
(filmRef)19965	2
(filmRef)19964	2
(filmRef)19963	2
(filmRef)19962	2
(filmRef)19961	2
(filmRef)19960	2
(filmRef)19966	2
(filmRef)19975	2
(filmRef)19976	2
(filmRef)19977	2
(filmRef)19807	2
(filmRef)14392	2
(filmRef)14387	2
(filmRef)14391	2
(filmRef)20233	2
(filmRef)20180	2
(filmRef)20171	2
(filmRef)20133	2
(filmRef)20098	2
(filmRef)20091	2
(filmRef)20084	2
(filmRef)20083	2
(filmRef)19994	2
(filmRef)19993	2
(filmRef)19978	2
(filmRef)19959	2
(filmRef)19958	2
(filmRef)19957	2
(filmRef)19955	2
(filmRef)19935	2
(filmRef)19934	2
(filmRef)19933	2
(filmRef)19932	2
(filmRef)19931	2
(filmRef)19929	2
(filmRef)19928	2
(filmRef)19927	2
(filmRef)19926	2
(filmRef)19925	2
(filmRef)19924	2
(filmRef)19923	2
